Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Negative_Feature_Count
88,1175,9,6,3226,3232,1613,0,358.4444444444,711.2661441245,1616,0,538.6666666667,834.4988116628,5496170.21276596,12765.9574468085,83.9285714286,210.5901832345,811,-1,1175,146.875,309.2301211996,910,1,1042,208.4,344.2249264652,811,3,0,304,208,7659.5744680851,5106.3829787234,0,1616,403.625,722.0267654319,521322.65,0,0,0,1,0,0,0,0,430.5333333333,358.4444444444,538.6666666667,304,9,3226,6,3232,29200,260,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,74998119,1365,1500,6747,3270156,789,0,4.9428571429,57.2902366822,7240,0,2180.104,865.9650536637,43693.1358238465,38.20095808,26186.4940642458,973403.077729097,49997213,-1,25000902,18329.1070381232,396726.849839162,14206097,0,74873942,49949.2608405604,1346589.19634683,49997226,1,0,59548,48008,18.2004564674,20.0005016126,0,7240,1143.3715980461,1254.8218904294,1574577.9767009,0,0,0,1,0,0,0,1,1143.7706806283,4.9428571429,2180.104,59548,1365,6747,1500,3270156,65535,336,13,32,5397405.0,7454451.20912989,10668498,126312,32101652.5,25308144.3653682,49997213,14206092,BENIGN,1
443,61413555,375,686,2927,1361395,235,0,7.8053333333,30.6255978588,4344,0,1984.5408163265,854.1664963232,22215.3236366141,17.276316279,57937.3160377359,1790026.63026991,58270978,-1,61413555,164207.36631016,3013249.5458563,58270978,2,61382498,89609.4861313869,2227934.01847518,58302192,1,0,12008,21960,6.106143831,11.1701724481,0,4344,1284.6723163842,1168.7040390863,1365869.13097653,0,0,0,1,0,0,0,1,1285.8831291235,7.8053333333,1984.5408163265,12008,375,2927,686,1361395,29200,139,26,32,3111369.0,0.0,3111369,3111369,58270978.0,0.0,58270978,58270978,BENIGN,1
80,91306,5,3,518,494,518,0,103.6,231.656642469,494,0,164.6666666667,285.2110329797,11083.6089632664,87.6174621602,13043.7142857143,17322.2007331082,37077,-1,91306,22826.5,26524.000131956,53305,371,53676,26838.0,15006.2201103409,37449,16227,0,172,104,54.7609138501,32.8565483101,0,518,112.4444444444,223.2056849137,49820.7777777778,0,0,0,1,0,0,0,0,126.5,103.6,164.6666666667,172,5,518,3,494,65535,340,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,62369555,17,17,775,5234,393,0,45.5882352941,103.5284132639,1460,0,307.8823529412,524.483660655,96.3450837512,0.5451377679,1889986.51515152,3864713.65262365,10009414,-1,62369555,3898097.1875,4884705.41111238,10060438,13028,62318209,3894888.0625,4894543.93941475,10060456,49,0,376,424,0.272568884,0.272568884,0,1460,171.6857142857,390.6234663163,152586.692436975,0,0,0,1,0,0,0,1,176.7352941176,45.5882352941,307.8823529412,376,17,775,17,5234,8192,114,14,20,363658.166666667,765744.705096266,1926728,51024,9957286.33333333,108306.263557869,10009414,9736512,BENIGN,1
443,116238685,35,35,898,39444,524,0,25.6571428571,96.3238846616,4344,0,1126.9714285714,1173.9405858729,347.061737665,0.6022091527,1684618.62318841,3731787.82751334,10155779,-1,116238685,3418784.85294118,4808813.31307961,10240046,17,112793241,3317448.26470588,4849668.46667241,10240412,1,0,1128,1128,0.3011045763,0.3011045763,0,4344,568.1971830986,990.8523981144,981788.474849095,0,0,0,1,0,0,0,1,576.3142857143,25.6571428571,1126.9714285714,1128,35,898,35,39444,29200,123,4,32,112312.181818182,92710.9756208165,391846,84213,10141626.4545455,46502.0582348001,10155779,10001418,BENIGN,1
80,85185370,19,17,2611,3192,565,0,137.4210526316,227.9508513765,786,0,187.7647058824,300.4917905309,68.1220261179,0.4226077788,2433867.71428571,4157595.27122418,9997079,-1,84853916,4714106.44444445,4883293.44868767,10080640,83716,85101655,5318853.4375,4929539.88911165,10080865,1427,0,392,448,0.2230429944,0.1995647844,0,786,156.8378378378,259.7036252596,67445.972972973,0,0,0,1,0,0,0,0,161.1944444444,137.4210526316,187.7647058824,392,19,2611,17,3192,8192,127,18,20,660153.75,1120814.99020091,3029055,83561,9946585.75,93245.8493871364,9997079,9790548,BENIGN,1
80,9174698,133,244,1524,391349,378,0,11.4586466165,44.7261890738,4380,0,1603.8893442623,505.9237975619,42821.3549917392,41.0912707971,24400.7925531915,425003.213667749,8224145,-1,9174698,69505.2878787879,716886.969595429,8224145,1,910812,3748.1975308642,38562.1494131976,564814,1,0,2680,4892,14.4963899629,26.5948808342,0,4380,1039.3465608466,864.6135267647,747556.550664534,0,0,0,1,0,0,0,1,1042.1034482759,11.4586466165,1603.8893442623,2680,133,1524,244,391349,29200,31,132,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,51318844,61,97,1005,176972,312,0,16.4754098361,48.2423073513,4380,0,1824.4536082474,913.0749104516,3468.0633102336,3.0787910967,326871.617834395,1747252.74145793,10007246,-1,51318844,855314.066666667,2795256.66664383,10156564,3,41537713,432684.510416667,2037114.97795366,10156840,0,0,1232,1952,1.1886471956,1.8901439011,0,4380,1119.3522012579,1135.8658390334,1290191.2042831,0,0,0,1,0,0,0,1,1126.4367088608,16.4754098361,1824.4536082474,1232,61,1005,97,176972,8192,1026,60,20,337231.6,419673.871648331,1087967,149318,9926536.6,164852.858277617,10007246,9631731,BENIGN,1
443,75766840,59,102,2277,122254,517,0,38.593220339,115.9166047794,2920,0,1198.568627451,700.7997625034,1643.6082064397,2.1249401453,473542.75,4260991.03834461,44997200,-1,45765272,789056.413793103,5906842.3724279,44997200,52,75728548,749787.603960396,5356650.48446488,45035363,1,0,1192,2052,0.7787047738,1.3462353716,0,2920,768.7098765432,793.10676701,629018.343877003,0,0,0,1,0,0,0,1,773.4844720497,38.593220339,1198.568627451,1192,59,2277,102,122254,8192,12501,58,20,403071.5,516188.657372961,768072,38071,37480347.0,10630435.4589649,44997200,29963494,BENIGN,1
443,268473,37,61,841,97884,243,0,22.7297297297,58.8159316326,4344,0,1604.6557377049,1059.6823090789,367727.853452675,365.0273956785,2767.7628865979,6550.6804095917,23431,-1,268473,7457.5833333333,11846.9689948225,42602,20,225508,3758.4666666667,10207.2987304062,42104,1,0,1204,1960,137.8164657154,227.2109299632,0,4344,997.2222222222,1134.5169119862,1287128.62358277,0,0,0,1,0,0,0,1,1007.3979591837,22.7297297297,1604.6557377049,1204,37,841,61,97884,29200,290,7,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,5566663,10,7,710,6020,517,0,71.0,161.2217244804,1460,0,860.0,723.6840931419,1208.9828322642,3.0538942271,347916.4375,1360721.46756834,5450428,-1,5566663,618518.111111111,1812081.94555803,5450428,4,55128,9188.0,11057.1625112413,25114,186,0,220,152,1.7964083689,1.2574858582,0,1460,373.8888888889,598.4087614262,358093.045751634,0,0,0,1,0,0,0,0,395.8823529412,71.0,860.0,220,10,710,7,6020,29200,30,9,20,116231.0,0.0,116231,116231,5450428.0,0.0,5450428,5450428,BENIGN,1
443,115934736,22,18,2483,6066,2033,0,112.8636363636,431.3201545924,1815,0,337.0,628.6433572291,73.7397633786,0.3450217026,2972685.53846154,4552659.40063494,10172309,-1,115934736,5520701.71428571,4985573.80571301,10195517,3,111279565,6545856.76470588,4928344.02209598,10195678,55,0,452,504,0.1897619364,0.1552597661,0,2033,208.512195122,528.3692421949,279174.056097561,0,0,0,1,0,0,0,0,213.725,112.8636363636,337.0,452,22,2483,18,6066,8192,71,21,20,68024.2727272727,148201.671760538,514869,23147,10048313.4545455,59057.7947968998,10172309,10000092,BENIGN,1
443,3,1,2,6,37,6,6,6.0,0.0,37,0,18.5,26.1629509039,14333333.3333333,1000000.0,1.5,3.5355339059,4,-1,0,0.0,0.0,0,0,4,4.0,0.0,4,4,0,20,64,333333.333333333,666666.666666667,0,37,12.25,16.7406690428,280.25,1,0,0,0,0,0,0,2,16.3333333333,6.0,18.5,20,1,6,2,37,0,1012,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
80,98656685,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,118.2180407,0.141906248,7588975.769,25500000.0,92300000,-1,97600000,13900000.0,34600000.0,92300000,3,1064348,212869.6,475393.4285,1063279,2,0,172,132,0.081089285,0.060816963,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,833.5,7.0,1934.5,172,8,56,6,11607,256,229,6,20,3013.0,0.0,3013,3013,48800000.0,61600000.0,92300000,5254879,DDoS,1
443,296954,15,10,974,7419,469,0,64.9333333333,134.2659762596,1581,0,741.9,747.3777046001,28263.6367922304,84.1881234131,12373.0833333333,25310.5821827064,92276,-1,296954,21211.0,30671.2508284976,92360,1,238809,26534.3333333333,40947.0802866334,93347,2,0,492,328,50.5128740478,33.6752493652,0,1581,322.8076923077,570.5302810005,325504.801538462,0,0,0,1,0,0,0,0,335.72,64.9333333333,741.9,492,15,974,10,7419,65535,357,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,118123860,24,20,2854,6764,2181,0,118.9166666667,445.4659423537,2117,2,338.2,673.140370127,81.4230080189,0.3724903673,2747066.51162791,4418143.26298058,10153475,-1,118123860,5135820.0,5027008.24704964,10240038,2,114619248,6032592.0,5060518.49767302,10244911,1,0,500,404,0.203176564,0.1693138033,0,2181,213.7333333333,558.9081238532,312378.290909091,0,0,0,1,0,0,0,0,218.5909090909,118.9166666667,338.2,500,24,2854,20,6764,29200,40958,23,20,285335.454545455,657169.188281429,2266770,86500,10134603.0,43585.9138025119,10153475,10016468,BENIGN,1
443,93446107,1019,957,23015,2002699,753,0,22.5858684985,65.664468571,8760,0,2092.684430512,1615.9271587297,21677.885414745,21.1458782333,47314.484556962,1431731.63829146,45006187,-1,93423131,91771.2485265226,1994255.2522857,45032756,0,93419787,97719.4424686192,2058385.60258615,45029163,1,0,27788,19176,10.9046811335,10.2411970998,0,8760,1024.6403641882,1528.5118870045,2336348.58871404,0,0,0,1,0,0,0,0,1025.1589068826,22.5858684985,2092.684430512,27788,1019,23015,957,2002699,8192,330,659,20,1709932.5,2380635.49210384,3393296,26569,45001633.0,6440.3285630471,45006187,44997079,BENIGN,1
443,62101008,1011,1807,53666,3121853,1682,0,53.0820969337,270.0875585676,4254,0,1727.6441615938,868.4120920221,51134.7416454174,45.3776853348,22045.0862619808,1108018.00988962,58808771,-1,62101008,61486.1465346535,1852774.34768835,58884044,1,62023151,34342.8300110742,1384670.80688792,58845178,1,0,32384,57832,16.2799289828,29.097756352,0,4254,1126.4700248315,1074.7151497129,1155012.65302239,0,0,0,1,0,0,0,1,1126.8697657914,53.0820969337,1727.6441615938,32384,1011,53666,1807,3121853,29200,1618,93,32,3214474.0,0.0,3214474,3214474,58808771.0,0.0,58808771,58808771,BENIGN,1
443,58493602,102,222,1694,310527,421,0,16.6078431373,72.1577146219,2836,0,1398.7702702703,270.5512328744,5337.6948815701,5.5390673325,181094.743034056,2952397.82681062,52965588,-1,58493602,579144.574257426,5275868.90130573,52965588,1,5491265,24847.3529411765,236017.924045211,3168357,1,0,3276,7112,1.7437804565,3.795286876,0,2836,960.68,682.9995361783,466488.366419753,0,0,0,1,0,0,0,2,963.6450617284,16.6078431373,1398.7702702703,3276,102,1694,222,310527,65535,374,8,32,5528011.0,0.0,5528011,5528011,52965588.0,0.0,52965588,52965588,BENIGN,1
443,118801856,969,1455,19276,2589847,1647,0,19.8926728586,116.6338164799,4290,0,1779.9635738832,771.2518910285,21961.9717052232,20.4037216388,49030.8939331407,1682825.69112224,58906483,-1,118801856,122729.190082645,2663299.55560043,58906483,2,118708402,81642.6423658872,2174773.45937875,59015777,1,0,19392,29112,8.1564382294,12.2472834094,0,4290,1075.9270103093,1051.6843837091,1106040.04293763,0,0,0,1,0,0,0,1,1076.3708745875,19.8926728586,1779.9635738832,19392,969,19276,1455,2589847,8192,748,968,20,769000.5,933108.715055486,1428808,109193,58585136.5,454452.578521126,58906483,58263790,BENIGN,1
443,6164639,23,33,854,49905,455,0,37.1304347826,100.343185821,2920,0,1512.2727272727,894.4033371726,8233.8965834009,9.0840680209,112084.345454545,651654.177285667,4840095,-1,1324540,60206.3636363636,82883.7011001074,287056,212,6069421,189669.40625,865325.427194613,4905087,1,0,472,672,3.7309565086,5.3531115123,0,2920,890.5087719298,1001.0752455451,1002151.64724311,0,0,0,1,0,0,0,1,906.4107142857,37.1304347826,1512.2727272727,472,23,854,33,49905,8192,245,22,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
80,119999322,218658,291260,1286884,641001413,365,0,5.8853735057,8.3910267907,5840,0,2200.7876570762,831.014505601,5352432.71624485,4249.3406754415,235.3310872162,2437.494454064,435539,-5,119999322,548.8016482436,3728.8290688158,435564,0,119976766,411.9246649889,3659.2042605946,457509,0,0,4644908,5825212,1822.1602952057,2427.1803802358,0,5840,1259.588869997,1254.7791084932,1574470.61111096,0,0,0,1,0,0,0,1,1259.5913401763,5.8853735057,2200.7876570762,4644908,218658,1286884,291260,641001413,8192,1026,207501,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,13324507,63,90,21104,141127,4610,0,334.9841269841,1036.492666704,3269,0,1568.0777777778,916.3860776555,12175.3848003532,11.4826011949,87661.2302631579,817923.830781557,9921909,-13,3402455,54878.3064516129,241769.575442254,1901272,3,13287723,149300.258426966,1068318.58003278,9921909,2,0,1280,1808,4.7281299038,6.7544712911,0,4610,1053.4480519481,1139.9240029835,1299426.73257788,0,0,0,1,0,0,0,1,1060.3333333333,334.9841269841,1568.0777777778,1280,63,21104,90,141127,29200,60,62,20,3402594.0,0.0,3402594,3402594,9921909.0,0.0,9921909,9921909,BENIGN,1
443,503450,271,566,685,1047063,267,0,2.5276752768,23.2078804014,4344,0,1849.9346289753,718.7975118041,2081136.1604926,1662.5285529844,602.2129186603,2150.1393877948,23729,-1,503323,1864.1592592593,3725.8703482362,24370,1,481334,851.9185840708,2680.3388316079,34493,48,0,8684,18120,538.2858277883,1124.2427251962,0,4344,1250.2959427208,1047.8792696142,1098050.96368722,0,0,0,1,0,0,0,2,1251.7897252091,2.5276752768,1849.9346289753,8684,271,685,566,1047063,65535,122,5,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
80,119999835,193200,256740,1162781,575681633,2920,0,6.0185351967,10.7034183092,5840,6,2242.2748033029,837.8917818913,4807043.393018,3749.5051555696,266.7024529992,12520.1714758985,6488790,-12,119999828,621.1203370618,19108.5539068966,6488790,0,119999643,467.399354987,16878.6003140272,6602378,0,0,3939424,5134800,1610.0022137531,2139.5029418166,0,5840,1282.0510555828,1275.1215722629,1625935.02405019,0,0,0,0,1,0,0,1,1282.0539049651,6.0185351967,2242.274803303,3939424,193200,1162781,256740,575681633,1023,1025,187113,20,101659665.0,0.0,101659665,101659665,6488790.0,0.0,6488790,6488790,BENIGN,1
443,55782740,229,513,612,784561,373,0,2.672489083,26.6685665454,4344,0,1529.3586744639,388.8622727845,14075.5545532543,13.3016054787,75280.350877193,2039541.08485922,55519338,-1,55782740,244661.140350877,3676792.32642112,55519498,47,248263,484.888671875,1230.8815677253,15628,1,0,7340,16424,4.1052124725,9.1963930062,0,4344,1056.7604306864,776.7864423576,603397.177030542,0,0,0,1,0,0,0,2,1058.1846361186,2.672489083,1529.3586744639,7340,229,612,513,784561,65535,61,5,32,263346.0,0.0,263346,263346,55519338.0,0.0,55519338,55519338,BENIGN,1
80,90891726,8,4,56,11607,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,128.3175104,0.132025219,8262884.182,23900000.0,79600000,-1,90300000,12900000.0,29700000.0,79600000,1,571011,190337.0,328910.6745,570130,5,0,172,92,0.088016812,0.044008406,0,11595,897.6153846,3214.167532,10300000.0,0,0,0,0,1,0,0,0,972.4166667,7.0,2901.75,172,8,56,4,11607,256,229,6,20,5016.0,0.0,5016,5016,45200000.0,48600000.0,79600000,10800000,DDoS,1
443,116269077,262,391,5080,659085,489,0,19.3893129771,87.6956660676,4344,0,1685.6393861893,759.7823915074,5712.309903346,5.616282651,178326.805214724,1316006.13246431,10210575,-1,116269077,445475.390804598,2059313.12460991,10240041,1,113367907,290686.941025641,1692227.34883154,10240171,3,0,10404,12520,2.2533936517,3.3628889993,0,4344,1015.5428134557,1008.1842641181,1016435.51041535,0,0,0,1,0,0,0,1,1017.0980091884,19.3893129771,1685.6393861893,10404,262,5080,391,659085,29200,164,14,32,126738.909090909,322173.992116202,1098130,29409,10179439.0,71411.0072243767,10210575,9997787,BENIGN,1
443,64046294,764,1851,53404,3119575,1682,0,69.9005235602,306.8671026078,4254,0,1685.3457590492,854.1088843537,49541.9610071427,40.8298409897,24501.26013772,1147817.4168253,58679681,-1,64046294,83940.0969855832,2127171.27259673,58755800,16,63968359,34577.4913513513,1365257.17860893,58716420,0,0,24456,59240,11.9288713255,28.9009696642,0,4254,1212.9124617737,1041.0647052135,1083815.7204412,0,0,0,1,0,0,0,2,1213.376290631,69.9005235602,1685.3457590492,24456,764,53404,1851,3119575,29200,1622,92,32,5288878.0,0.0,5288878,5288878,58679681.0,0.0,58679681,58679681,BENIGN,1
80,116505494,24,22,2067,9948,715,0,86.125,217.985702064,1460,0,452.1818181818,654.3189579259,103.1281838091,0.3948311656,2589010.97777778,4333278.32641663,10183552,-1,116505494,5065456.26086957,5087365.18533218,10335980,1,113418884,5400899.23809524,5203412.29051367,10337455,1,0,500,452,0.205998869,0.1888322966,0,1460,255.6382978723,504.0820078869,254098.670675301,0,0,0,1,0,0,0,0,261.1956521739,86.125,452.1818181818,500,24,2067,22,9948,29200,512,23,20,225374.636363636,241975.681433599,954956,151660,10085082.3636364,49412.714182228,10183552,9964009,BENIGN,1
443,61076727,197,403,25137,625260,1460,0,127.5989847716,347.9182061379,4380,0,1551.5136476427,750.8930382636,10648.8515666532,9.8237091192,101964.485809683,2408425.14533552,58939744,-1,61076727,311615.954081633,4213488.09756507,58990743,1,61024366,151801.905472637,2940597.58031739,58954755,1,0,3960,8072,3.2254511608,6.5982579584,0,4380,1082.1913477538,930.8078238776,866403.204991681,0,0,0,1,0,0,0,2,1083.995,127.5989847716,1551.5136476427,3960,197,25137,403,625260,29200,78,196,20,2084559.0,0.0,2084559,2084559,58939744.0,0.0,58939744,58939744,BENIGN,1
443,88854,11,7,748,998,469,0,68.0,140.3210604293,805,0,142.5714285714,296.1586608238,19650.2127084881,202.5795124586,5226.705882353,9997.7299783795,37311,-1,88854,8885.4,17188.2002949052,54360,3,72078,12013.0,14319.8207251348,37311,4,0,244,152,123.7985909469,78.7809215117,0,805,91.8947368421,204.9202811764,41992.3216374269,0,0,0,1,0,0,0,0,97.0,68.0,142.5714285714,244,11,748,7,998,65535,31,10,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
443,15909611,8,7,389,5264,233,0,48.625,85.7153720169,1460,0,752.0,698.164975728,355.3198126592,0.9428263205,1136400.78571429,4208357.72176409,15757778,-1,15909611,2272801.57142857,5946364.64076601,15757778,186,91155,15192.5,22921.9308152695,47031,48,0,172,152,0.5028407043,0.4399856162,0,1460,353.3125,574.8161119001,330413.5625,0,0,0,1,0,0,0,0,376.8666666667,48.625,752.0,172,8,389,7,5264,8192,110,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,1
